"filename", "language", "Python", "pip requirements", "JSON", "Markdown", "XML", "PostCSS", "SCSS", "comment", "blank", "total"
"h:\SoftDev\xFRA\xFRA\README.md", "Markdown", 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"h:\SoftDev\xFRA\xFRA\README_en.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QDragGroupBox.py", "Python", 29, 0, 0, 0, 0, 0, 0, 207, 3, 239
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QEngLineEdit.py", "Python", 84, 0, 0, 0, 0, 0, 0, 17, 19, 120
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QIconButtonWidget.py", "Python", 55, 0, 0, 0, 0, 0, 0, 28, 12, 95
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QLabelComboBox.py", "Python", 43, 0, 0, 0, 0, 0, 0, 11, 21, 75
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QSwitchButton.py", "Python", 82, 0, 0, 0, 0, 0, 0, 10, 23, 115
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\SoftDev\xFRA\xFRA\brief_function_test\xConv_plus_waveWidget.py", "Python", 34, 0, 0, 0, 0, 0, 0, 4, 7, 45
"h:\SoftDev\xFRA\xFRA\control_widget.py", "Python", 157, 0, 0, 0, 0, 0, 0, 12, 37, 206
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\kimi_widget.py", "Python", 261, 0, 0, 0, 0, 0, 0, 105, 82, 448
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\s21_widget.py", "Python", 98, 0, 0, 0, 0, 0, 0, 24, 24, 146
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\smith_widget.py", "Python", 127, 0, 0, 0, 0, 0, 0, 34, 19, 180
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\template.py", "Python", 69, 0, 0, 0, 0, 0, 0, 44, 13, 126
"h:\SoftDev\xFRA\xFRA\custom_plot_widget\test.py", "Python", 14, 0, 0, 0, 0, 0, 0, 1, 4, 19
