"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"h:\SoftDev\xFRA\xFRA\README.md", "Markdown", 13, 0, 0, 0, 0, 13
"h:\SoftDev\xFRA\xFRA\README_en.md", "Markdown", 1, 0, 0, 0, 0, 1
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QDragGroupBox.py", "Python", 0, 0, 0, 20, 0, 20
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QLabelComboBox.py", "Python", 0, 6, 0, 1, 2, 9
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QLabelLineEdit.py", "Python", 0, 8, 0, 2, 1, 11
"h:\SoftDev\xFRA\xFRA\control_widget.py", "Python", 0, 4, 0, 0, 0, 4
"h:\SoftDev\xFRA\xFRA\custom_tunnel\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"h:\SoftDev\xFRA\xFRA\custom_tunnel\instru_serial.py", "Python", 0, 9, 0, 0, 4, 13
"h:\SoftDev\xFRA\xFRA\custom_tunnel\instru_socket.py", "Python", 0, 15, 0, 7, 6, 28
"h:\SoftDev\xFRA\xFRA\main.py", "Python", 0, 17, 0, 11, 2, 30
"h:\SoftDev\xFRA\xFRA\trace_config.py", "Python", 0, 30, 0, 3, -1, 32
"h:\SoftDev\xFRA\xFRA\xConv\xConvFormulaDef.json", "JSON", 0, 0, 4, 0, 0, 4
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\MSO5000.py", "Python", 0, 59, 0, 24, 6, 89
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\SDG2000X.py", "Python", 0, 3, 0, 0, -1, 2
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\Templage.py", "Python", 0, 8, 0, 1, 2, 11
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\DHO900.py", "Python", 0, 3, 0, 0, -1, 2
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\MSO5000.py", "Python", 0, 3, 0, 0, -1, 2
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\SDS6000X.py", "Python", 0, 3, 0, 0, -1, 2
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\SDS800HD.py", "Python", 0, 3, 0, 0, -1, 2
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\xDrvEM.py", "Python", 0, 35, 0, 11, 13, 59
"h:\SoftDev\xFRA\xFRA\xDriver\VNA_Class\LibreVNA.py", "Python", 0, 141, 0, 46, 20, 207
"h:\SoftDev\xFRA\xFRA\xDriver\VNA_Class\SVA1000X.py", "Python", 0, 5, 0, 1, 1, 7
"h:\SoftDev\xFRA\xFRA\xDriver\xDriverStd.md", "Markdown", 15, 0, 0, 0, 6, 21
"Total", "-", 29, 352, 4, 127, 58, 570
