"filename", "language", "Python", "CSV", "Markdown", "XML", "comment", "blank", "total"
"h:\SoftDev\xFRA\xFRA\README.md", "Markdown", 0, 0, 6, 0, 0, 0, 6
"h:\SoftDev\xFRA\xFRA\basic_custom_widget\QLabelComboBox.py", "Python", 4, 0, 0, 0, 2, 2, 8
"h:\SoftDev\xFRA\xFRA\channelSet.py", "Python", 105, 0, 0, 0, 5, 8, 118
"h:\SoftDev\xFRA\xFRA\control_widget.py", "Python", 117, 0, 0, 0, 2, 8, 127
"h:\SoftDev\xFRA\xFRA\icon\xFRA.svg", "XML", 0, 0, 0, 118, 1, 3, 122
"h:\SoftDev\xFRA\xFRA\main.py", "Python", 4, 0, 0, 0, 6, 1, 11
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\MSO5000.py", "Python", -83, 0, 0, 0, -1, -23, -107
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\SDG2000X.py", "Python", 96, 0, 0, 0, 22, 10, 128
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Excitation\Templage.py", "Python", -8, 0, 0, 0, -1, -2, -11
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\DHO800.py", "Python", 219, 0, 0, 0, 50, 35, 304
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\DHO900.py", "Python", 216, 0, 0, 0, 50, 35, 301
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\MSO5000.py", "Python", 216, 0, 0, 0, 50, 35, 301
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\SDS6000.py", "Python", 259, 0, 0, 0, 61, 31, 351
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\SDS6000X.py", "Python", -3, 0, 0, 0, 0, 0, -3
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\Measurement\SDS800HD.py", "Python", 256, 0, 0, 0, 61, 31, 348
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\typedef.py", "Python", 50, 0, 0, 0, 16, 12, 78
"h:\SoftDev\xFRA\xFRA\xDriver\EM_Class\xDrvEM.py", "Python", -63, 0, 0, 0, 4, -11, -70
"h:\SoftDev\xFRA\xFRA\xDriver\xDriverStd.md", "Markdown", 0, 0, 23, 0, 0, 4, 27
"h:\SoftDev\xFRA\xFRA\xxx.csv", "CSV", 0, 53, 0, 0, 0, 1, 54
"Total", "-", 1385, 53, 29, 118, 328, 180, 2093
