! Touchstone file generated by xDrvEM.py
# Hz S RI R 50
! Hz ReS11 ImS11 ReS21 ImS21 ReS12 ImS12 ReS22 ImS22
10000.000000 1.0000 0.0000 0.980946 -0.000514 0.980946 -0.000514 1.0000 0.0000
10985.411420 1.0000 0.0000 0.998293 0.006970 0.998293 0.006970 1.0000 0.0000
12067.926406 1.0000 0.0000 0.996891 0.005220 0.996891 0.005220 1.0000 0.0000
13257.113656 1.0000 0.0000 1.026057 0.005372 1.026057 0.005372 1.0000 0.0000
14563.484775 1.0000 0.0000 0.997958 0.008709 0.997958 0.008709 1.0000 0.0000
15998.587196 1.0000 0.0000 0.997767 -0.000522 0.997767 -0.000522 1.0000 0.0000
17575.106249 1.0000 0.0000 0.997439 0.001741 0.997439 0.001741 1.0000 0.0000
19306.977289 1.0000 0.0000 0.997000 -0.003480 0.997000 -0.003480 1.0000 0.0000
21209.508879 1.0000 0.0000 0.997127 0.005221 0.997127 0.005221 1.0000 0.0000
23299.518105 1.0000 0.0000 0.996488 0.010436 0.996488 0.010436 1.0000 0.0000
25595.479227 1.0000 0.0000 1.018625 0.005334 1.018625 0.005334 1.0000 0.0000
28117.686980 1.0000 0.0000 0.995785 0.005214 0.995785 0.005214 1.0000 0.0000
30888.435965 1.0000 0.0000 0.995666 0.003476 0.995666 0.003476 1.0000 0.0000
33932.217719 1.0000 0.0000 0.994668 0.005208 0.994668 0.005208 1.0000 0.0000
37275.937203 1.0000 0.0000 0.994929 0.005209 0.994929 0.005209 1.0000 0.0000
40949.150624 1.0000 0.0000 0.994935 0.006946 0.994935 0.006946 1.0000 0.0000
44984.326690 1.0000 0.0000 0.994341 0.005206 0.994341 0.005206 1.0000 0.0000
49417.133613 1.0000 0.0000 0.994483 -0.000521 0.994483 -0.000521 1.0000 0.0000
54286.754393 1.0000 0.0000 1.028435 0.003590 1.028435 0.003590 1.0000 0.0000
59636.233166 1.0000 0.0000 0.993732 0.003469 0.993732 0.003469 1.0000 0.0000
65512.855686 1.0000 0.0000 0.993789 0.008673 0.993789 0.008673 1.0000 0.0000
71968.567300 1.0000 0.0000 0.993811 0.000347 0.993811 0.000347 1.0000 0.0000
79060.432109 1.0000 0.0000 0.993448 0.003468 0.993448 0.003468 1.0000 0.0000
86851.137375 1.0000 0.0000 0.993438 0.003468 0.993438 0.003468 1.0000 0.0000
95409.547635 1.0000 0.0000 0.993084 0.010400 0.993084 0.010400 1.0000 0.0000
104811.313415 1.0000 0.0000 0.993255 0.006934 0.993255 0.006934 1.0000 0.0000
115139.539933 1.0000 0.0000 0.993302 0.005201 0.993302 0.005201 1.0000 0.0000
126485.521686 1.0000 0.0000 0.993230 -0.008668 0.993230 -0.008668 1.0000 0.0000
138949.549437 1.0000 0.0000 0.993470 -0.003468 0.993470 -0.003468 1.0000 0.0000
152641.796718 1.0000 0.0000 0.992907 -0.001040 0.992907 -0.001040 1.0000 0.0000
167683.293681 1.0000 0.0000 0.993034 0.005200 0.993034 0.005200 1.0000 0.0000
184206.996933 1.0000 0.0000 0.993179 0.005200 0.993179 0.005200 1.0000 0.0000
202358.964773 1.0000 0.0000 0.993215 0.005201 0.993215 0.005201 1.0000 0.0000
222299.648253 1.0000 0.0000 0.992855 0.003466 0.992855 0.003466 1.0000 0.0000
244205.309455 1.0000 0.0000 0.993910 -0.001735 0.993910 -0.001735 1.0000 0.0000
268269.579528 1.0000 0.0000 0.993705 -0.000121 0.993705 -0.000121 1.0000 0.0000
294705.170255 1.0000 0.0000 0.993460 0.006936 0.993460 0.006936 1.0000 0.0000
323745.754282 1.0000 0.0000 0.993783 -0.008673 0.993783 -0.008673 1.0000 0.0000
355648.030622 1.0000 0.0000 0.994015 0.001388 0.994015 0.001388 1.0000 0.0000
390693.993705 1.0000 0.0000 0.993879 -0.001214 0.993879 -0.001214 1.0000 0.0000
429193.426013 1.0000 0.0000 0.993558 -0.007474 0.993558 -0.007474 1.0000 0.0000
471486.636346 1.0000 0.0000 0.994009 0.006940 0.994009 0.006940 1.0000 0.0000
517947.467923 1.0000 0.0000 0.993771 0.001041 0.993771 0.001041 1.0000 0.0000
568986.602902 1.0000 0.0000 0.994136 0.005205 0.994136 0.005205 1.0000 0.0000
625055.192527 1.0000 0.0000 0.993883 0.008673 0.993883 0.008673 1.0000 0.0000
686648.845004 1.0000 0.0000 0.994437 0.003471 0.994437 0.003471 1.0000 0.0000
754312.006335 1.0000 0.0000 0.994324 0.006942 0.994324 0.006942 1.0000 0.0000
828642.772855 1.0000 0.0000 0.994318 0.006942 0.994318 0.006942 1.0000 0.0000
910298.177992 1.0000 0.0000 0.994706 -0.006944 0.994706 -0.006944 1.0000 0.0000
1000000.000000 1.0000 0.0000 0.994434 0.010414 0.994434 0.010414 1.0000 0.0000
